user_id,country,traffic_source,total_orders,total_revenue,total_gross_profit,recency_days,orders_per_year,behavioral_segment,rfm_total,first_purchase_category,lifetime_margin_pct,persona_cluster,frequency_repeat,tenure_days,model_recency,model_tenure,inactivity_ratio,habit_strength,p_alive_custom
73571,China,Search,1,290.5,162.45099987462163,-744,1.0,NEW POTENTIAL,11,Intimates,0.5592117035270968,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
80910,United States,Search,1,238.0,118.74999972805381,-744,1.0,NEW POTENTIAL,11,Tops & Tees,0.49894957868930173,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
96117,China,Display,1,338.0,172.71799997985363,-744,1.0,NEW POTENTIAL,11,Sweaters,0.5109999999403954,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
1748,United States,Search,1,502.9799995422363,323.1851580927485,-744,1.0,NEW POTENTIAL,12,Active,0.6425407737621384,2,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
18777,Germany,Search,1,264.0600051879883,128.24411237455917,-744,1.0,NEW POTENTIAL,12,Pants,0.4856627654887012,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
26233,China,Search,1,197.80000019073486,97.62460012129844,-744,1.0,LOYALIST,13,Jeans,0.49355207293812364,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
22831,China,Search,1,242.2899932861328,132.04804654854053,-744,1.0,LOYALIST,13,Outerwear & Coats,0.5450000008568169,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
2060,China,Search,1,286.0,136.7080003004521,-744,1.0,LOYALIST,13,Jeans,0.47800000105053186,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
23915,Brasil,Organic,1,256.1299934387207,100.9702371071896,-744,1.0,CHAMPION,14,Suits,0.39421481159467103,3,0,-714,0,-743.0,-0.4163402350307778,0.6931471805599453,0.3829495157598557
57113,Brasil,Organic,1,229.77000045776367,119.27754030824735,-743,1.0,NEW POTENTIAL,11,Plus,0.5191171174244436,3,0,-713,0,-742.0,-0.4157806379406827,0.6931471805599453,0.3642728474890731
94900,Japan,Search,1,213.45000076293945,121.96895027979016,-743,1.0,NEW POTENTIAL,11,Sweaters,0.5714169587436572,3,0,-713,0,-742.0,-0.4157806379406827,0.6931471805599453,0.3642728474890731
